,J,J,J,J,J,J,J,J,J,J,J,J,J,o,o,o,o,o,o,o,o,o,o,o,o,o,g,g,g,g,g,g,g,g,g,g,g,g,g,g,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,d,d,d,d,d,d,d,d,d,d,d,d,d,o,o,o,o,o,o,o,o,o,o,o,o,r,r,r,r,r,r,r,r,r,r,r,r
,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,OwnG,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador,Unnamed: 1,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating,Jogador
217,  ,6(1),425.0,2,0.9,0.6,0.1,0.7,1,0.3,-,6.48,"Thiago MaiaFlamengo, 25, DMC",  ,3(7),480.0,2,0.6,0.6,-,0.2,1.4,-,-,6.57,"RobinhoCoritiba, 34, M(CR)",  ,5(2),325.0,-,1,1,0.9,1.6,1.3,0.1,1.3,1.6,6.63,"Felipe MarquesCuiaba, 32, AM(L)",  ,6(1),425.0,-,-,0.4,0.1,0.4,0.1,-,0.7,1,6.48,"Thiago MaiaFlamengo, 25, DMC",  ,3(7),480.0,-,-,0.3,1.6,0.3,0.9,0.1,0.6,0.5,6.57,"RobinhoCoritiba, 34, M(CR)",  ,5(2),325.0,1,0.9,12.1,85.9,0.6,0.3,-,6.63,"Felipe MarquesCuiaba, 32, AM(L)",  ,6(1),425.0,-,0.1,38.0,93.2,-,1.3,-,6.48,"Thiago MaiaFlamengo, 25, DMC"
218,  ,4(2),353.0,1.5,0.2,0.7,0.2,1.2,0.3,0.7,-,6.47,"Yago FelipeFluminense, 27, M(CLR)",  ,3(9),384.0,2,0.6,1.1,-,0.3,1.3,-,-,6.57,"Lucas BarbosaSantos FC, 21, Midfielder",  ,4(1),342.0,-,1,0.6,0.2,-,0.8,0.2,0.2,-,6.63,"Luan GarciaPalmeiras, 29, D(C)",  ,4(2),353.0,-,-,0.8,-,0.2,2,0.2,0.7,1.2,6.47,"Yago FelipeFluminense, 27, M(CLR)",  ,3(9),384.0,1,1,0.8,0.5,0.3,1.5,0.2,0.7,0.8,6.57,"Lucas BarbosaSantos FC, 21, Midfielder",  ,4(1),342.0,1,0.2,30.6,81.7,-,3.4,-,6.63,"Luan GarciaPalmeiras, 29, D(C)",  ,4(2),353.0,-,-,29.0,83.9,-,1.3,-,6.47,"Yago FelipeFluminense, 27, M(CLR)"
219,  ,5(3),413.0,0.4,0.8,0.4,-,0.3,0.9,0.1,-,6.47,"HyoranRed Bull Bragantino, 29, M(CLR)",  ,8(11),688.0,0.7,0.2,0.9,0.1,0.3,0.8,0.1,-,6.57,"LázaroFlamengo, 20, Forward",  ,3(3),276.0,1,-,1.3,0.7,0.5,1.2,-,0.3,0.7,6.62,"Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,5(3),413.0,1,1,1.9,0.9,0.3,0.4,-,0.8,1.1,6.47,"HyoranRed Bull Bragantino, 29, M(CLR)",  ,8(11),688.0,4,2,1.5,0.6,0.9,0.8,0.1,0.8,1.1,6.57,"LázaroFlamengo, 20, Forward",  ,3(3),276.0,-,0.7,27.3,87.8,-,3.3,-,6.62,"Gabriel MeninoPalmeiras, 21, D(R),M(CR)",  ,5(3),413.0,1,0.9,17.1,79.6,0.6,0.9,-,6.47,"HyoranRed Bull Bragantino, 29, M(CLR)"
220,  ,3(5),282.0,0.5,0.3,0.5,-,-,0.5,-,-,6.47,"WesleyPalmeiras, 23, AM(L)",  ,9(4),791.0,0.8,1,0.7,-,0.5,1.2,0.2,-,6.56,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,4(1),361.0,-,1,-,1.4,0.2,0.2,-,-,0.2,6.61,"MarianoAtletico MG, 36, D(R),M(R)",  ,3(5),282.0,-,1,1.1,0.4,1,0.6,0.1,0.9,1.6,6.47,"WesleyPalmeiras, 23, AM(L)",  ,9(4),791.0,1,-,1.6,0.2,0.8,1.3,-,0.5,1.1,6.56,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,4(1),361.0,1,1.4,43.4,85.7,1,3.8,-,6.61,"MarianoAtletico MG, 36, D(R),M(R)",  ,3(5),282.0,1,0.4,9.6,74.0,-,0.5,-,6.47,"WesleyPalmeiras, 23, AM(L)"
221,  ,5(1),397.0,1.3,0.8,0.8,-,-,2,-,-,6.47,"EveraldoAmerica MG, 28, AM(CLR)",  ,9(3),743.0,0.7,0.4,1.4,0.3,3.9,0.5,0.3,-,6.56,"Iago MaidanaAmerica MG, 26, D(C)",  ,4(4),312.0,-,1,1.1,0.5,1.5,1.6,-,0.9,0.6,6.61,"Fabrício DanielCoritiba, 25, AM(CR),FW",  ,5(1),397.0,-,-,1.7,0.8,1.2,2.8,0.3,0.8,1.2,6.47,"EveraldoAmerica MG, 28, AM(CLR)",  ,9(3),743.0,3,-,0.5,0.2,0.1,0.1,-,0.2,0.3,6.56,"Iago MaidanaAmerica MG, 26, D(C)",  ,4(4),312.0,1,0.5,9.9,63.3,0.1,0.1,-,6.61,"Fabrício DanielCoritiba, 25, AM(CR),FW",  ,5(1),397.0,-,0.8,26.5,79.2,0.7,1,-,6.47,"EveraldoAmerica MG, 28, AM(CLR)"
222,  ,6(1),554.0,2.3,0.9,1,0.1,1.1,2.4,0.1,-,6.47,"EgídioCoritiba, 36, D(L)",  ,11(2),878.0,1.5,0.8,1.9,-,1.2,0.6,0.1,-,6.56,"AlêAmerica MG, 32, M(C)",  ,7,627.0,-,-,0.3,-,0.3,0.9,-,0.3,0.4,6.61,"KanuBotafogo RJ, 25, D(C)",  ,6(1),554.0,-,-,0.7,1.7,1.7,1.4,0.1,0.3,1.9,6.47,"EgídioCoritiba, 36, D(L)",  ,11(2),878.0,1,1,1,0.8,0.5,2.2,-,0.6,1.4,6.56,"AlêAmerica MG, 32, M(C)",  ,7,627.0,-,-,45.1,86.7,-,2.6,-,6.61,"KanuBotafogo RJ, 25, D(C)",  ,6(1),554.0,-,1.7,36.0,86.1,1,1.9,-,6.47,"EgídioCoritiba, 36, D(L)"
223,  ,5(3),402.0,1.5,0.3,1.3,-,0.5,0.9,-,-,6.46,"Paulo HenriqueJuventude, 26, D(R),M(R)",,,,,,,,,,,,,Erro:502,  ,9,756.0,-,-,0.3,0.2,0.6,0.3,-,0.1,0.2,6.61,"LéoSao Paulo, 26, D(CL)",  ,5(3),402.0,1,-,0.1,0.5,1.3,0.4,0.1,1,0.5,6.46,"Paulo HenriqueJuventude, 26, D(R),M(R)",,,,,,,,,,,,,,Erro:502,  ,9,756.0,-,0.2,48.0,85.6,0.2,3.1,-,6.61,"LéoSao Paulo, 26, D(CL)",  ,5(3),402.0,-,0.5,14.8,70.3,0.4,0.4,-,6.46,"Paulo HenriqueJuventude, 26, D(R),M(R)"
224,  ,4(1),332.0,0.2,1.6,1.6,0.4,2,-,0.8,-,6.46,"David LuizFlamengo, 35, D(C),DMC",  ,13,1170.0,0.6,0.8,0.8,0.4,3.8,0.2,1.2,-,6.56,"WandersonAtletico GO, 31, D(C)",,,,,,,,,,,,,,Erro:502,  ,4(1),332.0,-,-,0.2,0.4,0.2,-,-,-,0.2,6.46,"David LuizFlamengo, 35, D(C),DMC",  ,13,1170.0,-,-,0.2,0.2,0.1,0.3,-,0.2,0.1,6.56,"WandersonAtletico GO, 31, D(C)",,,,,,,,,,,,Erro:502,  ,4(1),332.0,-,0.4,50.0,92.0,-,2.6,0.2,6.46,"David LuizFlamengo, 35, D(C),DMC"
225,,,,,,,,,,,,,Erro:502,  ,9(4),794.0,0.6,0.3,1.1,-,0.5,1,-,-,6.56,"Andreas PereiraFlamengo, 26, M(CLR)",  ,3(5),379.0,1,-,1.1,0.6,1.4,0.5,0.1,0.6,0.5,6.61,"HérculesFortaleza, 21, M(C)",,,,,,,,,,,,,,Erro:502,  ,9(4),794.0,2,1,1.5,0.9,0.4,0.6,0.1,0.5,0.8,6.56,"Andreas PereiraFlamengo, 26, M(CLR)",  ,3(5),379.0,-,0.6,21.8,79.3,0.1,1.6,0.1,6.61,"HérculesFortaleza, 21, M(C)",,,,,,,,,,,,Erro:502
226,  ,0(5),97.0,1.2,0.4,0.4,-,0.2,0.4,-,-,6.46,"PedrinhoGoias, 18, Forward",  ,8(4),561.0,0.5,0.3,1.1,-,0.2,0.3,0.1,-,6.56,"Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(1),223.0,-,1,0.6,0.2,0.6,1,-,0.6,0.8,6.61,"ValCoritiba, 25, DMC",  ,0(5),97.0,-,1,0.4,0.2,0.6,0.8,-,0.2,0.6,6.46,"PedrinhoGoias, 18, Forward",  ,8(4),561.0,1,2,1.5,0.7,0.8,1.4,0.2,0.8,0.7,6.56,"Bruno PraxedesRed Bull Bragantino, 20, M(C)",  ,4(1),223.0,1,0.2,20.2,78.2,-,1.4,0.2,6.61,"ValCoritiba, 25, DMC",  ,0(5),97.0,1,0.2,7.2,66.7,0.4,0.2,-,6.46,"PedrinhoGoias, 18, Forward"
227,  ,7(1),531.0,2.4,0.8,1,0.3,1.1,1.8,0.3,-,6.46,"Luis OyamaBotafogo RJ, 25, DMC",  ,11(1),882.0,1.1,1.1,1,-,1.4,0.8,0.1,-,6.56,"FelipeFortaleza, 28, DMC",  ,9,773.0,-,1,1,2.2,0.7,0.8,0.1,0.9,1.4,6.61,"Igor GomesSao Paulo, 23, M(CLR)",  ,7(1),531.0,-,-,0.8,0.8,0.9,1.4,-,1.5,1,6.46,"Luis OyamaBotafogo RJ, 25, DMC",  ,11(1),882.0,-,1,0.6,1,0.4,1.1,-,0.7,0.7,6.56,"FelipeFortaleza, 28, DMC",  ,9,773.0,1,2.2,36.4,81.4,0.9,1.8,-,6.61,"Igor GomesSao Paulo, 23, M(CLR)",  ,7(1),531.0,-,0.8,34.9,82.8,-,2.8,-,6.46,"Luis OyamaBotafogo RJ, 25, DMC"
228,  ,6(2),522.0,1.9,0.8,2.1,-,0.5,1.6,0.1,-,6.45,"RichardsonCeara, 30, DMC",  ,18(1),1561.0,2.8,1.4,1.5,0.2,2.5,0.9,0.3,-,6.56,"João LucasCuiaba, 24, D(R)",  ,9(2),809.0,-,1,0.9,1.7,0.4,0.7,-,0.2,0.6,6.61,"JeffersonAtletico GO, 25, D(L)",  ,6(2),522.0,-,-,0.4,0.4,0.6,0.9,-,0.3,1.3,6.45,"RichardsonCeara, 30, DMC",  ,18(1),1561.0,-,-,0.4,0.4,0.2,1,-,0.4,0.9,6.56,"João LucasCuiaba, 24, D(R)",  ,9(2),809.0,1,1.7,40.9,84.7,1.2,3.6,-,6.61,"JeffersonAtletico GO, 25, D(L)",  ,6(2),522.0,-,0.4,29.3,85.5,-,2.6,-,6.45,"RichardsonCeara, 30, DMC"
229,  ,4(1),325.0,1.6,0.4,1.4,-,1.2,1.4,-,-,6.45,"Kelvin OsorioCuiaba, 28, M(C)",  ,7(11),781.0,1.1,0.6,1,-,1.1,0.9,0.1,-,6.55,"Fellipe BastosGoias, 32, DMC",  ,5(1),419.0,-,-,0.8,0.2,0.2,0.3,0.3,-,0.5,6.61,"David LuizFlamengo, 35, D(C),DMC",  ,4(1),325.0,-,-,0.8,1.2,0.2,0.2,0.2,1.2,0.6,6.45,"Kelvin OsorioCuiaba, 28, M(C)",  ,7(11),781.0,-,1,1.3,1.1,0.4,0.7,-,0.2,0.6,6.55,"Fellipe BastosGoias, 32, DMC",  ,5(1),419.0,-,0.2,46.0,85.5,-,2.2,-,6.61,"David LuizFlamengo, 35, D(C),DMC",  ,4(1),325.0,-,1.2,25.0,80.0,0.4,1,-,6.45,"Kelvin OsorioCuiaba, 28, M(C)"
230,  ,8,661.0,0.8,1.9,0.9,0.6,7.1,0.3,1,-,6.45,"EdsonAtletico GO, 31, D(C),DMC",  ,5(5),574.0,0.9,1.1,0.7,0.2,1.9,0.8,0.1,-,6.55,"PedrinhoAthletico Paranaense, 20, Defender",  ,4(4),397.0,-,1,1.6,1.4,2,1,-,0.5,1.8,6.6,"Thonny AndersonCoritiba, 24, AM(C),FW",  ,8,661.0,-,-,0.4,0.1,-,0.8,0.1,0.1,0.1,6.45,"EdsonAtletico GO, 31, D(C),DMC",  ,5(5),574.0,-,1,0.4,0.4,0.8,0.4,-,0.2,0.9,6.55,"PedrinhoAthletico Paranaense, 20, Defender",  ,4(4),397.0,1,1.4,18.5,74.3,0.9,1.1,-,6.6,"Thonny AndersonCoritiba, 24, AM(C),FW",  ,8,661.0,-,0.1,47.0,86.2,-,4.3,-,6.45,"EdsonAtletico GO, 31, D(C),DMC"
231,  ,2(5),303.0,1.9,0.4,0.9,-,0.6,1.1,-,-,6.45,"RomildoBotafogo RJ, 22, Midfielder",  ,7(5),696.0,0.9,0.3,0.7,-,1,1.2,0.2,-,6.55,"RômuloAthletico Paranaense, 20, Forward",  ,6(2),619.0,-,-,0.5,0.4,0.1,0.6,-,0.4,0.5,6.6,"CamiloCuiaba, 23, DMC,M(R)",  ,2(5),303.0,-,-,0.4,0.7,0.3,1.3,-,0.7,0.4,6.45,"RomildoBotafogo RJ, 22, Midfielder",  ,7(5),696.0,1,1,0.8,0.3,0.7,0.8,0.1,0.3,1.4,6.55,"RômuloAthletico Paranaense, 20, Forward",  ,6(2),619.0,-,0.4,27.5,84.1,0.1,1.3,-,6.6,"CamiloCuiaba, 23, DMC,M(R)",  ,2(5),303.0,-,0.7,16.7,80.3,0.1,0.6,-,6.45,"RomildoBotafogo RJ, 22, Midfielder"
232,  ,9,810.0,-,-,-,-,1.1,0.1,-,-,6.45,"Alex MuralhaCoritiba, 32, GK",  ,19,1536.0,1.3,0.8,0.9,0.1,1.6,1,0.4,-,6.54,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,6(3),461.0,1,1,0.7,1,0.8,0.7,-,1.2,1.6,6.6,"SorrisoRed Bull Bragantino, 21, AM(LR)",  ,9,810.0,-,-,-,-,-,0.3,-,-,-,6.45,"Alex MuralhaCoritiba, 32, GK",  ,19,1536.0,-,-,0.9,0.5,0.4,0.3,-,0.3,0.7,6.54,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,6(3),461.0,1,1,15.3,67.4,0.4,0.3,-,6.6,"SorrisoRed Bull Bragantino, 21, AM(LR)",  ,9,810.0,-,-,21.9,62.4,-,4.4,-,6.45,"Alex MuralhaCoritiba, 32, GK"
233,  ,9,786.0,3,1.3,2,0.3,2.2,1.3,0.6,-,6.44,"João LucasCuiaba, 24, D(R)",  ,14(6),1127.0,0.8,0.4,0.7,0.1,0.3,0.6,0.1,-,6.54,"ValdíviaCuiaba, 27, AM(CLR),FW",  ,3(3),286.0,1,-,1.8,0.3,0.7,1.3,-,0.2,1,6.6,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,9,786.0,-,-,0.3,0.1,-,1.1,-,0.2,0.9,6.44,"João LucasCuiaba, 24, D(R)",  ,14(6),1127.0,2,-,1.4,0.9,1.2,1.1,0.1,0.8,1.5,6.54,"ValdíviaCuiaba, 27, AM(CLR),FW",  ,3(3),286.0,-,0.3,22.2,80.5,0.2,1.8,-,6.6,"Patrick de PaulaBotafogo RJ, 22, DMC",  ,9,786.0,-,0.1,29.1,69.1,0.2,1,-,6.44,"João LucasCuiaba, 24, D(R)"
234,  ,7(1),527.0,1.6,0.9,1.3,-,0.1,1,-,-,6.44,"RonaldFortaleza, 25, M(C)",  ,7(5),574.0,1.5,0.8,0.9,-,0.7,0.8,0.3,-,6.54,"ValCoritiba, 25, DMC",  ,10,856.0,-,-,0.3,0.3,-,0.4,-,0.2,0.2,6.59,"CaetanoGoias, 23, D(C)",  ,7(1),527.0,-,-,0.4,0.3,1.3,0.6,-,1.4,1.6,6.44,"RonaldFortaleza, 25, M(C)",  ,7(5),574.0,-,1,1.6,0.4,0.8,0.9,-,0.8,0.8,6.54,"ValCoritiba, 25, DMC",  ,10,856.0,-,0.3,34.2,82.5,-,3.2,-,6.59,"CaetanoGoias, 23, D(C)",  ,7(1),527.0,-,0.3,27.5,91.4,-,1.9,-,6.44,"RonaldFortaleza, 25, M(C)"
235,  ,5(1),371.0,1.3,0.8,1.3,0.2,0.8,0.7,0.7,-,6.43,"WellingtonFluminense, 31, DMC",  ,5(8),557.0,0.5,0.2,0.4,-,0.4,0.2,-,-,6.54,"Gustavo MosquitoCorinthians, 24, AM(LR)",,,,,,,,,,,,,,Erro:502,  ,5(1),371.0,-,-,-,0.5,0.3,0.7,-,0.3,1.3,6.43,"WellingtonFluminense, 31, DMC",  ,5(8),557.0,2,2,0.6,0.8,0.8,0.7,-,0.3,1,6.54,"Gustavo MosquitoCorinthians, 24, AM(LR)",,,,,,,,,,,,Erro:502,  ,5(1),371.0,-,0.5,40.2,85.5,-,2.7,-,6.43,"WellingtonFluminense, 31, DMC"
236,  ,5(2),431.0,1.1,0.3,0.6,-,-,0.3,-,-,6.43,"Matheus MartinsFluminense, 19, Midfielder",  ,9(2),751.0,0.6,0.9,1.5,0.4,2,-,0.5,-,6.54,"David LuizFlamengo, 35, D(C),DMC",  ,4(2),295.0,1,-,1.8,1,0.2,0.2,0.2,0.7,1.7,6.59,"CléberCeara, 25, FW",  ,5(2),431.0,-,-,0.9,1,0.9,2.3,0.1,1,2.3,6.43,"Matheus MartinsFluminense, 19, Midfielder",  ,9(2),751.0,-,-,0.5,0.3,0.2,0.2,0.2,-,0.4,6.54,"David LuizFlamengo, 35, D(C),DMC",  ,4(2),295.0,-,1,12.5,73.3,-,-,-,6.59,"CléberCeara, 25, FW",  ,5(2),431.0,-,1,28.6,83.5,0.4,0.6,-,6.43,"Matheus MartinsFluminense, 19, Midfielder"
237,  ,6,540.0,-,-,0.2,-,1.8,-,-,-,6.43,"Marcelo BoeckFortaleza, 37, GK",  ,16,1426.0,1,1.1,1.1,0.1,3.6,0.7,0.9,-,6.54,"BressanAvai FC, 29, D(CR)",  ,7(1),557.0,-,-,1.1,0.6,1,1.3,-,0.9,0.6,6.59,"Luis OyamaBotafogo RJ, 25, DMC",  ,6,540.0,-,-,-,-,-,0.3,-,-,-,6.43,"Marcelo BoeckFortaleza, 37, GK",  ,16,1426.0,-,-,0.3,0.2,0.1,0.4,-,0.1,0.1,6.54,"BressanAvai FC, 29, D(CR)",  ,7(1),557.0,-,0.6,36.9,80.7,0.1,3.4,-,6.59,"Luis OyamaBotafogo RJ, 25, DMC",  ,6,540.0,-,-,20.8,60.0,-,5.7,-,6.43,"Marcelo BoeckFortaleza, 37, GK"
238,  ,3(5),354.0,1,0.9,0.4,-,0.6,0.1,-,-,6.43,"Lucas CrispimFortaleza, 28, M(CLR)",  ,8(5),725.0,0.2,0.4,0.5,-,0.5,0.5,0.1,-,6.53,"Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW",  ,7,629.0,-,-,0.3,-,-,0.1,-,-,0.1,6.59,"VitãoInternacional, 22, D(C)",  ,3(5),354.0,-,1,0.5,0.5,0.3,0.4,0.1,0.1,0.4,6.43,"Lucas CrispimFortaleza, 28, M(CLR)",  ,8(5),725.0,3,1,1.2,1,0.8,0.9,-,0.8,1.5,6.53,"Vitor BuenoAthletico Paranaense, 27, AM(CLR),FW",  ,7,629.0,-,-,31.4,85.5,-,2.3,-,6.59,"VitãoInternacional, 22, D(C)",  ,3(5),354.0,1,0.5,15.8,81.0,0.6,0.9,-,6.43,"Lucas CrispimFortaleza, 28, M(CLR)"
239,  ,9(1),770.0,0.5,0.2,1.6,-,0.2,1.1,0.1,-,6.43,"BissoliAvai FC, 24, FW",  ,20,1506.0,1.1,0.9,1.8,-,0.9,1.6,0.2,-,6.53,"Vinícius ZanoceloSantos FC, 21, DMC",  ,6(3),462.0,1,-,0.7,1.3,0.1,0.7,-,0.3,0.1,6.59,"Lucas CrispimFortaleza, 28, M(CLR)",  ,9(1),770.0,3,-,1.9,1,0.5,0.8,0.5,1.1,1.9,6.43,"BissoliAvai FC, 24, FW",  ,20,1506.0,3,-,1.8,0.8,0.3,0.5,0.1,0.5,0.7,6.53,"Vinícius ZanoceloSantos FC, 21, DMC",  ,6(3),462.0,-,1.3,26.9,86.0,1.3,1.6,-,6.59,"Lucas CrispimFortaleza, 28, M(CLR)",  ,9(1),770.0,-,1,14.9,72.5,0.2,0.2,0.1,6.43,"BissoliAvai FC, 24, FW"
240,  ,6,451.0,0.2,0.2,-,-,0.7,0.2,-,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,16(2),1341.0,1.9,1.3,1.8,0.2,1.6,1.7,0.2,-,6.53,"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,721.0,-,-,0.9,0.7,0.3,0.2,-,0.1,0.8,6.58,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,6,451.0,-,-,-,-,-,-,-,-,-,6.43,"Hugo SouzaFlamengo, 23, GK",  ,16(2),1341.0,-,1,0.5,0.6,1.4,1.6,-,0.8,2.2,6.53,"Renzo SaraviaBotafogo RJ, 29, D(R),M(R)",  ,9,721.0,-,0.7,34.7,79.8,-,1.2,-,6.58,"Lucas KalAmerica MG, 26, D(CL),DMC",  ,6,451.0,-,-,15.8,74.7,-,2,-,6.43,"Hugo SouzaFlamengo, 23, GK"
241,  ,2(3),216.0,0.2,0.4,0.8,-,1,0.2,-,-,6.42,"RenatoAvai FC, 32, D(R),M(R)",  ,14(3),1330.0,1,1.2,0.9,0.5,2.6,0.4,0.8,-,6.53,"Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),405.0,1,1,1.8,0.6,1.4,1.5,0.1,0.9,1.8,6.58,"MoratoAvai FC, 29, AM(LR)",  ,2(3),216.0,-,-,0.6,1,0.4,1.6,0.2,0.8,0.2,6.42,"RenatoAvai FC, 32, D(R),M(R)",  ,14(3),1330.0,-,-,0.4,0.2,-,0.7,0.1,-,0.2,6.53,"Gabriel MercadoInternacional, 35, D(CR)",  ,6(2),405.0,1,0.6,17.3,80.4,0.1,-,-,6.58,"MoratoAvai FC, 29, AM(LR)",  ,2(3),216.0,-,1,15.4,85.7,1,0.8,-,6.42,"RenatoAvai FC, 32, D(R),M(R)"
242,  ,6(4),546.0,1.4,0.3,0.8,0.2,1.9,0.6,0.6,-,6.42,"MaguinhoGoias, 30, D(R)",  ,18(3),1409.0,1.7,0.5,1.8,-,0.3,1.2,0.1,-,6.53,"Eduardo BiasiAvai FC, 25, M(C)",  ,6,393.0,-,-,0.8,0.2,1.3,1.5,-,0.8,3.7,6.58,"Jhojan JulioSantos FC, 24, AM(L)",  ,6(4),546.0,-,-,0.5,0.4,0.8,0.3,0.2,0.3,1.1,6.42,"MaguinhoGoias, 30, D(R)",  ,18(3),1409.0,1,1,1.1,1,0.8,1.2,-,0.8,1.7,6.53,"Eduardo BiasiAvai FC, 25, M(C)",  ,6,393.0,-,0.2,21.3,80.5,0.2,1.8,-,6.58,"Jhojan JulioSantos FC, 24, AM(L)",  ,6(4),546.0,-,0.4,14.5,74.5,0.4,0.6,-,6.42,"MaguinhoGoias, 30, D(R)"
243,  ,4(1),268.0,0.6,-,0.8,-,0.2,0.6,0.2,-,6.42,"VitinhoFlamengo, 28, AM(CLR),FW",  ,6(9),671.0,1.1,1.3,1,-,0.8,0.7,0.2,-,6.53,"JadsomRed Bull Bragantino, 21, DMC",  ,5(2),375.0,2,-,2.7,0.7,0.1,0.7,0.4,0.7,1.3,6.58,"AlerrandroRed Bull Bragantino, 22, FW",  ,4(1),268.0,-,-,0.8,0.2,1.4,1,-,0.6,0.6,6.42,"VitinhoFlamengo, 28, AM(CLR),FW",  ,6(9),671.0,-,1,0.4,0.3,0.5,0.3,-,0.2,0.6,6.53,"JadsomRed Bull Bragantino, 21, DMC",  ,5(2),375.0,-,0.7,8.1,80.7,0.1,-,0.1,6.58,"AlerrandroRed Bull Bragantino, 22, FW",  ,4(1),268.0,-,0.2,19.6,81.6,0.2,0.4,-,6.42,"VitinhoFlamengo, 28, AM(CLR),FW"
244,  ,0(5),167.0,0.4,0.6,1,0.8,1,0.4,0.4,-,6.42,"Felipe MeloFluminense, 39, D(C),M(C)",  ,7(6),603.0,1.2,0.3,1.2,-,0.3,1.2,0.2,-,6.52,"Thonny AndersonCoritiba, 24, AM(C),FW",  ,4(3),332.0,-,1,1.4,0.6,1.6,0.4,0.1,0.7,1.4,6.58,"Eduardo VargasAtletico MG, 32, AM(CLR),FW",  ,0(5),167.0,-,-,-,0.2,0.2,1.4,-,-,0.2,6.42,"Felipe MeloFluminense, 39, D(C),M(C)",  ,7(6),603.0,-,1,1.2,1.1,2,0.8,-,0.8,1.5,6.52,"Thonny AndersonCoritiba, 24, AM(C),FW",  ,4(3),332.0,1,0.6,20.1,90.1,-,1.4,-,6.58,"Eduardo VargasAtletico MG, 32, AM(CLR),FW",  ,0(5),167.0,-,0.2,24.2,77.7,-,2.4,-,6.42,"Felipe MeloFluminense, 39, D(C),M(C)"
245,,,,,,,,,,,,,Erro:502,  ,14(2),1088.0,1.9,1.1,1.3,0.2,0.8,1.7,0.3,-,6.52,"Luis OyamaBotafogo RJ, 25, DMC",  ,2(3),177.0,1,-,1,0.8,1.8,1.4,-,0.2,1.8,6.57,"SávioAtletico MG, 18, Forward",,,,,,,,,,,,,,Erro:502,  ,14(2),1088.0,-,-,0.9,0.7,0.9,1.3,-,1.2,0.8,6.52,"Luis OyamaBotafogo RJ, 25, DMC",  ,2(3),177.0,-,0.8,11.4,82.5,0.2,0.6,-,6.57,"SávioAtletico MG, 18, Forward",,,,,,,,,,,,Erro:502
246,  ,2(4),249.0,0.8,0.3,0.7,-,0.2,1.5,-,-,6.42,"SandrySantos FC, 19, DMC",  ,2(9),364.0,0.4,0.3,0.9,-,-,0.4,0.1,-,6.52,"RwanSantos FC, 21, Forward",  ,3(5),328.0,-,-,1.6,1.1,0.5,0.8,-,0.4,0.4,6.57,"Fellipe BastosGoias, 32, DMC",  ,2(4),249.0,-,1,0.2,1,0.2,0.3,-,0.3,0.2,6.42,"SandrySantos FC, 19, DMC",  ,2(9),364.0,2,-,1.3,0.6,0.9,1,0.2,0.6,2.2,6.52,"RwanSantos FC, 21, Forward",  ,3(5),328.0,-,1.1,22.5,73.3,0.8,1.9,-,6.57,"Fellipe BastosGoias, 32, DMC",  ,2(4),249.0,1,1,29.8,84.4,0.8,2.3,0.2,6.42,"SandrySantos FC, 19, DMC"
